frame,phase,mounted,alive,enabled,stable,visible,blockout,seated,pelvis_error,feet_error,hands_error,length_error,root_error,wheel_visible,wheel_collision,action_weight,steering,grip_error
1944,11,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1945,11,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1946,11,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1947,11,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1948,11,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1949,11,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1950,12,1,1,1,1,1,0,1,0.000000,0.000000,0.000000,0.000076,0.000000,1,0,0.000000,0.000000,0.000000
1951,12,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.000000,0.000000,0.000000
1952,12,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.366689,0.000000,0.000000
1953,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.733392,0.000000,0.000000
1954,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1.100068,0.000000,0.000000
1955,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1.466767,0.000000,0.000000
1956,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1.833459,0.000000,0.000000
1957,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.200165,0.000000,0.000000
1958,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.566873,0.000000,0.000000
1959,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.800059,0.000000,0.000000
1960,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.900068,0.000000,0.000000
1961,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1962,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1963,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1964,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1965,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1966,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1967,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1968,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1969,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1970,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1971,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1972,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1973,12,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1974,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1975,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1976,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1977,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1978,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1979,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1980,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1981,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1982,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1983,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1984,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1985,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1986,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1987,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1988,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1989,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1990,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1991,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1992,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
1993,13,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000
