frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
177,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
178,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
179,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
180,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
181,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
182,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
183,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
184,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
185,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
186,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
187,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
188,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
189,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
190,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
191,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
192,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
193,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
194,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
195,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
196,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
197,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
198,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
199,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
200,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
201,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
202,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
203,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
204,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
205,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
206,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
207,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
208,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
209,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
210,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
211,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
212,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
213,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
214,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
215,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
216,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
217,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
218,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
219,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
220,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
221,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
222,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
223,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
224,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
225,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
226,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
227,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
228,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
229,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
230,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
231,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
232,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
