frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
578,1.315975137,18.391880,22.689073,warmup,terminal,1,3.417000,24.945999,3.103000,6.010000,19.014999,0.723000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
579,1.334178114,18.202977,18.377180,warmup,terminal,1,3.718000,17.104000,1.924000,5.992000,14.957000,0.571000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
580,1.352432353,18.254239,18.204088,warmup,terminal,1,3.746000,17.282000,1.801000,6.012000,14.434000,1.137000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
581,1.370607029,18.174676,18.254288,warmup,terminal,1,3.763000,16.580999,1.930000,6.054000,14.486000,0.519000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
582,1.389835768,19.228739,18.198747,warmup,terminal,1,3.627000,17.790001,1.967000,6.065000,14.377000,0.981000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
583,1.408209088,18.373320,19.209658,warmup,terminal,1,3.528000,17.924000,1.717000,6.035000,15.607000,0.511000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
584,1.428186833,19.977745,18.349091,warmup,terminal,1,3.549000,15.941000,1.858000,6.036000,14.914000,0.856000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
585,1.448495935,20.309102,19.960944,warmup,terminal,1,3.209000,18.819000,2.002000,6.064000,16.604000,0.863000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
586,1.468423818,19.927883,20.328712,warmup,terminal,1,3.266000,19.308001,2.107000,6.068000,17.069000,0.367000,0.009000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
587,1.490391925,21.968107,19.926024,warmup,terminal,1,3.236000,19.896999,2.155000,6.018000,16.657000,0.935000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
588,1.510793990,20.402065,21.923866,warmup,terminal,1,2.982000,21.912001,1.971000,6.103000,18.781000,0.396000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
589,1.530696703,19.902713,20.434204,warmup,terminal,1,2.853000,20.028000,2.079000,6.097000,17.504999,0.389000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
590,1.551229469,20.532766,19.883323,warmup,terminal,1,2.742000,19.212000,2.842000,6.039000,17.207001,0.549000,0.010000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
591,1.570220943,18.991474,20.535267,warmup,terminal,1,2.981000,19.698999,1.694000,6.144000,17.705999,0.910000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
592,1.588783308,18.562365,18.967663,warmup,terminal,1,2.745000,17.825001,1.564000,6.189000,15.975000,0.375000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
593,1.608338193,19.554885,18.599065,warmup,terminal,1,2.661000,18.697001,1.628000,6.166000,15.880000,0.394000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
594,1.626199153,17.860960,19.523096,warmup,terminal,1,2.604000,18.917000,1.554000,6.104000,17.027000,0.348000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
595,1.643933210,17.734057,17.863338,warmup,terminal,1,2.575000,17.229000,1.146000,6.137000,15.153000,0.908000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
596,1.662297960,18.364750,17.710207,warmup,terminal,1,2.549000,16.018999,1.183000,6.074000,15.115000,0.801000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
