render_tick,elapsed_seconds,file_cache,automatic
297,5.708946691,0,3524
298,5.727948690,0,3513
299,5.745926837,0,3507
300,5.762919040,0,3504
301,5.782692986,0,3495
302,5.798900313,0,3487
303,5.817212508,0,3483
304,5.837095986,0,3479
305,5.853953567,0,3469
306,5.871988806,0,3460
307,5.889923290,0,3456
308,5.906951965,0,3448
309,5.925218759,0,3438
310,5.940900684,0,3435
311,5.956926707,0,3430
312,5.974073856,0,3429
313,5.992074193,0,3428
314,6.009165710,0,3424
315,6.024918886,0,3423
316,6.042903663,0,3420
317,6.059950948,0,3417
318,6.077205099,0,3412
319,6.094958170,0,3408
320,6.111951025,0,3405
321,6.130943173,0,3401
322,6.150903554,0,3397
323,6.166907936,0,3394
324,6.183929632,0,3391
325,6.201151412,0,3389
326,6.217926761,0,3384
327,6.235933788,0,3377
328,6.253068086,0,3373
329,6.271714807,0,3372
330,6.290937941,0,3367
331,6.308322265,0,3365
332,6.324911480,0,3362
333,6.343908308,0,3357
334,6.362136410,0,3354
335,6.378995012,0,3351
336,6.395900605,0,3348
337,6.411915718,0,3343
338,6.428928283,0,3340
339,6.448005543,0,3333
340,6.467377521,0,3326
341,6.486520503,0,3322
342,6.500992141,0,3315
343,6.517939335,0,3312
344,6.534911789,0,3304
345,6.551925674,0,3301
346,6.572323055,0,3293
347,6.587928298,0,3287
348,6.604111715,0,3282
349,6.621928808,0,3276
350,6.638119484,0,3261
351,6.653946813,0,3248
352,6.672232166,0,3231
353,6.688972326,0,3216
354,6.706947692,0,3198
355,6.723946757,0,3191
356,6.741071544,0,3181
357,6.758913587,0,3165
358,6.775980434,0,3157
359,6.791937496,0,3143
360,6.808961341,0,3128
361,6.827270484,0,3113
362,6.846018888,0,3098
363,6.863098124,0,3084
364,6.878171346,0,3075
365,6.894921846,0,3064
366,6.913971856,0,3055
367,6.930018719,0,3047
368,6.946963543,0,3038
369,6.963927997,0,3029
370,6.981037134,0,3022
371,6.997969338,0,3013
372,7.013934230,0,3005
373,7.031933546,0,2995
374,7.049197297,0,2985
375,7.066949628,0,2975
376,7.085897396,0,2966
377,7.104966816,0,2956
378,7.120177071,0,2948
379,7.138066986,0,2937
380,7.157065005,0,2926
381,7.175182924,0,2916
382,7.192068536,0,2910
383,7.209046931,0,2908
384,7.227322163,0,2905
385,7.244067103,0,2901
386,7.260108526,0,2899
387,7.278173635,0,2893
388,7.296250733,0,2887
389,7.314499476,0,2881
390,7.331173003,0,2872
391,7.348062695,0,2864
392,7.366727637,0,2854
393,7.384407506,0,2847
394,7.401073194,0,2839
395,7.419316996,0,2833
396,7.436040375,0,2827
397,7.453083141,0,2820
398,7.472320064,0,2813
399,7.489047643,0,2804
400,7.505056966,0,2796
401,7.522050491,0,2791
402,7.540033078,0,2784
403,7.558228738,0,2776
404,7.576249476,0,2766
405,7.595042420,0,2763
406,7.611061943,0,2758
407,7.628069118,0,2755
408,7.645129924,0,2747
409,7.663029389,0,2742
410,7.680074605,0,2733
411,7.697054789,0,2728
412,7.715150688,0,2722
413,7.732085781,0,2718
414,7.748004892,0,2713
415,7.765282523,0,2706
416,7.782990824,0,2703
417,7.799985108,0,2699
418,7.819324794,0,2693
419,7.838001006,0,2689
420,7.857146338,0,2683
421,7.876147657,0,2678
422,7.893932059,0,2678
423,7.910934064,0,2677
424,7.926942837,0,2677
425,7.945028456,0,2672
426,7.961874837,0,2670
427,7.979949546,0,2665
428,7.996910520,0,2663
429,8.014196030,0,2659
430,8.034002227,0,2655
431,8.049979249,0,2652
432,8.067037085,0,2647
433,8.083850476,0,2640
434,8.101905284,0,2630
435,8.118919979,0,2627
436,8.137196212,0,2623
437,8.154059264,0,2618
438,8.172418668,0,2611
439,8.189010864,0,2604
440,8.205027058,0,2601
441,8.223042575,0,2593
442,8.240013809,0,2583
443,8.256023252,0,2575
444,8.277019675,0,2563
445,8.291034253,0,2559
446,8.308515278,0,2551
447,8.326091666,0,2542
448,8.344484531,0,2539
449,8.362155041,0,2534
450,8.379276859,0,2528
451,8.398028302,0,2520
452,8.414032535,0,2517
453,8.430091539,0,2511
454,8.448231929,0,2502
455,8.466243946,0,2500
456,8.484685982,0,2497
457,8.501955553,0,2496
458,8.518261492,0,2496
459,8.537955067,0,2496
460,8.555953934,0,2496
461,8.574038402,0,2496
462,8.593970122,0,2495
463,8.613068713,0,2495
464,8.629943434,0,2495
465,8.648961203,0,2495
466,8.669406704,0,2495
467,8.685567890,0,2495
468,8.701973312,0,2494
469,8.719232833,0,2492
470,8.734962639,0,2489
471,8.751980014,0,2488
472,8.771603137,0,2486
473,8.788322996,0,2485
474,8.806381334,0,2482
475,8.822947099,0,2479
476,8.839930263,0,2477
477,8.856933328,0,2477
478,8.876268925,0,2476
479,8.892047792,0,2476
480,8.908083116,0,2474
481,8.926969902,0,2473
482,8.944001007,0,2472
483,8.960970191,0,2472
484,8.979017249,0,2468
485,8.996148798,0,2462
486,9.012986108,0,2458
487,9.031977867,0,2455
488,9.051024636,0,2452
489,9.066950358,0,2449
490,9.083495703,0,2447
491,9.100073218,0,2446
492,9.118022964,0,2444
493,9.134923066,0,2441
494,9.153947866,0,2441
495,9.172324161,0,2440
496,9.190278237,0,2437
497,9.207989717,0,2435
498,9.228983690,0,2431
499,9.246937555,0,2430
500,9.263935780,0,2428
501,9.284200297,0,2423
502,9.301088299,0,2420
503,9.318051863,0,2417
504,9.335021397,0,2416
505,9.352253618,0,2415
506,9.372577146,0,2414
507,9.390007729,0,2414
508,9.405055061,0,2413
509,9.422147538,0,2412
510,9.440008242,0,2412
511,9.458377857,0,2409
512,9.477119010,0,2409
513,9.493991602,0,2408
514,9.509999125,0,2407
515,9.528422721,0,2405
516,9.545022677,0,2404
517,9.561994451,0,2403
518,9.580024248,0,2401
519,9.597025103,0,2398
520,9.614001597,0,2395
521,9.632146237,0,2393
522,9.650038672,0,2389
523,9.667019066,0,2387
524,9.684910031,0,2386
525,9.702003917,0,2382
526,9.719005302,0,2380
527,9.736001367,0,2379
528,9.753022912,0,2374
529,9.772854629,0,2372
530,9.790445718,0,2369
531,9.807045273,0,2366
532,9.824021297,0,2364
533,9.841008332,0,2363
534,9.858975888,0,2360
535,9.877098077,0,2354
536,9.893047919,0,2353
537,9.911180048,0,2352
538,9.930127926,0,2348
539,9.946970388,0,2345
540,9.963974392,0,2343
541,9.981055939,0,2341
542,9.998137205,0,2336
543,10.014919355,0,2335
544,10.032062273,0,2332
545,10.048971426,0,2330
546,10.067387402,0,2326
547,10.085772748,0,2325
548,10.103156540,0,2323
549,10.120126375,0,2320
550,10.138004449,0,2317
551,10.155493864,0,2314
552,10.172595142,0,2312
553,10.189311309,0,2312
554,10.205990868,0,2312
555,10.223966024,0,2308
556,10.242085723,0,2305
557,10.260509849,0,2298
558,10.278077277,0,2294
559,10.296055083,0,2290
560,10.313047247,0,2286
561,10.330047532,0,2283
562,10.346097066,0,2277
563,10.362059898,0,2274
564,10.378574011,0,2270
565,10.400172978,0,2263
566,10.417057760,0,2260
567,10.434077386,0,2253
568,10.452163924,0,2250
569,10.472480942,0,2245
570,10.488032275,0,2240
571,10.507202577,0,2236
572,10.524090370,0,2230
573,10.540149194,0,2229
574,10.558101410,0,2225
575,10.575050353,0,2223
576,10.592394905,0,2221
577,10.610972165,0,2219
578,10.628065942,0,2216
579,10.648064183,0,2212
580,10.667006650,0,2209
581,10.683996795,0,2208
582,10.702957493,0,2206
583,10.720974710,0,2203
584,10.737150697,0,2200
585,10.755983392,0,2198
586,10.775321618,0,2195
587,10.791173917,0,2192
588,10.809977772,0,2189
589,10.827383686,0,2188
590,10.845984016,0,2185
591,10.864966414,0,2183
592,10.881011488,0,2181
593,10.899985526,0,2177
594,10.917926692,0,2175
595,10.935936099,0,2175
596,10.952927123,0,2174
597,10.968902306,0,2172
598,10.987199189,0,2171
599,11.004187973,0,2171
600,11.021113826,0,2169
601,11.036992737,0,2168
602,11.055973825,0,2166
603,11.073007180,0,2162
604,11.089968764,0,2161
605,11.107040301,0,2161
606,11.126474289,0,2160
607,11.144598048,0,2158
608,11.161222855,0,2158
609,11.181123844,0,2156
610,11.197073195,0,2155
611,11.213046938,0,2154
612,11.229386177,0,2151
613,11.246029445,0,2149
614,11.263299115,0,2148
615,11.280310060,0,2148
616,11.295945615,0,2147
617,11.313997683,0,2145
618,11.332328507,0,2144
619,11.348983864,0,2142
620,11.367098893,0,2140
621,11.384174020,0,2136
622,11.402047704,0,2130
623,11.417958134,0,2128
624,11.434971379,0,2125
625,11.452959925,0,2120
626,11.470486482,0,2116
627,11.486959105,0,2114
628,11.504678076,0,2110
629,11.522015489,0,2106
630,11.539005862,0,2104
631,11.556118000,0,2103
632,11.573259068,0,2099
633,11.589989526,0,2095
634,11.608020784,0,2092
635,11.624915446,0,2087
636,11.641110714,0,2084
637,11.656946752,0,2081
638,11.675988002,0,2076
639,11.694244105,0,2073
640,11.712020476,0,2070
641,11.729956632,0,2065
642,11.748002019,0,2062
643,11.765521166,0,2056
644,11.781020797,0,2053
645,11.798946302,0,2050
646,11.815952867,0,2046
647,11.833949334,0,2043
648,11.851966411,0,2042
649,11.872676488,0,2038
650,11.892100376,0,2035
651,11.909200854,0,2033
652,11.926975205,0,2030
653,11.944991542,0,2027
654,11.962951248,0,2025
655,11.979125514,0,2022
656,11.996592490,0,2021
657,12.013042992,0,2015
658,12.030931806,0,2013
659,12.050003567,0,2011
660,12.067014132,0,2008
661,12.085162842,0,2005
662,12.102922733,0,2001
663,12.120116612,0,1999
664,12.137010115,0,1998
665,12.153965078,0,1995
666,12.172927877,0,1990
667,12.190051674,0,1990
668,12.205931244,0,1989
669,12.223939531,0,1987
670,12.240976127,0,1984
671,12.258073073,0,1983
672,12.275874256,0,1981
673,12.290944128,0,1979
674,12.309098658,0,1977
675,12.325927249,0,1977
676,12.344015228,0,1977
677,12.362076306,0,1976
678,12.380161325,0,1973
679,12.397013226,0,1971
680,12.414148164,0,1968
681,12.431032906,0,1967
682,12.446985148,0,1967
683,12.463178855,0,1965
684,12.481977279,0,1964
685,12.499753771,0,1963
686,12.516570482,0,1960
687,12.533099996,0,1958
688,12.551060702,0,1957
689,12.569073959,0,1955
690,12.587543737,0,1954
691,12.603267323,0,1953
692,12.621130076,0,1950
693,12.637951867,0,1950
694,12.657960499,0,1947
695,12.678172484,0,1943
696,12.693942082,0,1941
697,12.710955617,0,1939
698,12.727924411,0,1937
699,12.745018308,0,1932
700,12.763129817,0,1928
701,12.783017965,0,1924
702,12.800912450,0,1918
703,12.816972804,0,1914
704,12.832930136,0,1911
705,12.849987462,0,1905
706,12.866917125,0,1904
707,12.885170337,0,1896
708,12.903250215,0,1894
709,12.918995393,0,1892
710,12.935281411,0,1886
711,12.952476180,0,1883
712,12.972803529,0,1881
713,12.985944839,0,1877
714,13.002903623,0,1873
715,13.021880121,0,1869
716,13.038948477,0,1865
717,13.056905883,0,1860
718,13.075154235,0,1857
719,13.093949220,0,1851
720,13.110947004,0,1845
721,13.130159898,0,1843
722,13.146943788,0,1838
723,13.163949553,0,1831
724,13.181654993,0,1821
725,13.197914541,0,1818
726,13.214899256,0,1815
727,13.233201759,0,1814
728,13.252015884,0,1813
729,13.269080100,0,1813
730,13.284950330,0,1809
731,13.301959205,0,1809
732,13.321059976,0,1804
733,13.339445781,0,1803
734,13.356305552,0,1803
735,13.372604551,0,1803
736,13.389954535,0,1800
737,13.406955729,0,1800
738,13.425590840,0,1800
739,13.443075945,0,1799
740,13.458923925,0,1799
741,13.478658779,0,1797
742,13.494977690,0,1796
743,13.512949726,0,1796
744,13.531006434,0,1795
745,13.549877920,0,1795
746,13.566950986,0,1794
747,13.584040753,0,1793
748,13.602342486,0,1792
749,13.618996473,0,1791
750,13.636197952,0,1790
751,13.653419262,0,1789
752,13.671647763,0,1787
753,13.688054976,0,1785
754,13.705180163,0,1784
755,13.723044687,0,1783
756,13.741934404,0,1782
757,13.759128852,0,1780
758,13.778010539,0,1779
759,13.795038434,0,1778
760,13.812050629,0,1778
761,13.829134266,0,1778
762,13.845242681,0,1777
763,13.861177492,0,1776
764,13.878262458,0,1773
765,13.895399726,0,1770
766,13.913368572,0,1769
767,13.932305510,0,1768
768,13.949102580,0,1768
769,13.967086417,0,1768
770,13.984360837,0,1764
771,14.001265470,0,1764
772,14.020192037,0,1764
773,14.038090212,0,1763
774,14.055069146,0,1763
775,14.073106464,0,1762
776,14.090032717,0,1760
777,14.107071252,0,1759
778,14.125067549,0,1759
779,14.142175996,0,1758
780,14.159076179,0,1758
781,14.178112608,0,1758
782,14.195248316,0,1757
783,14.211105516,0,1757
784,14.229432329,0,1755
785,14.246005955,0,1755
786,14.261940845,0,1755
