render_tick,elapsed_seconds
504,9.423577425
505,9.439719352
506,9.457566975
507,9.473613209
508,9.493622873
509,9.509570504
510,9.527594133
511,9.544601608
512,9.560592140
513,9.578255711
514,9.593551357
515,9.611570416
516,9.629557963
517,9.648593695
518,9.667583955
519,9.685659535
520,9.703017899
521,9.722715715
522,9.742725488
523,9.759573830
524,9.776624847
525,9.797798156
526,9.815567779
527,9.832846601
528,9.852591298
529,9.871614979
530,9.887577411
531,9.906592612
532,9.923555967
533,9.941565175
534,9.959581193
535,9.977617912
536,9.995608850
537,10.012565934
538,10.031545924
539,10.048598540
540,10.065586016
541,10.082740524
542,10.100539088
543,10.118958806
544,10.282753047
545,10.300526840
546,10.317564496
547,10.335427331
548,10.352492288
549,10.370446245
550,10.388452503
551,10.405477899
552,10.421454041
553,10.437462254
554,10.453453076
555,10.472885946
556,10.489492483
557,10.509926656
558,10.530479652
559,10.550488235
560,10.567882539
561,10.586631354
562,10.603551598
563,10.621568806
564,10.639543683
565,10.656545299
566,10.675708103
567,10.692686798
568,10.708751492
569,10.727727442
570,10.744580194
571,10.763590195
572,10.781229185
573,10.798746771
574,10.818571981
575,10.836556388
576,10.854565606
577,10.874599610
578,10.891619726
579,10.907730421
580,10.925727989
581,10.943743367
582,10.962594604
583,10.979602370
584,10.996565724
585,11.014584323
586,11.032599391
587,11.049581486
588,11.067734287
589,11.083983955
590,11.100569701
591,11.118545129
592,11.136607038
593,11.156578961
594,11.172575653
595,11.190617492
596,11.209064180
597,11.226868353
598,11.242560869
599,11.260577027
600,11.277626664
601,11.296627874
602,11.315796609
603,11.334224006
604,11.350738051
605,11.367630704
606,11.384768422
607,11.401067981
608,11.417968224
609,11.434791035
610,11.452888915
611,11.471428995
612,11.488618745
613,11.506576472
614,11.524576250
615,11.543551490
616,11.560555116
617,11.580845895
618,11.597619305
619,11.614661582
620,11.631584315
621,11.649605993
622,11.668216815
623,11.684698539
624,11.701592852
625,11.719292512
626,11.737579657
627,11.755610386
628,11.774635267
629,11.789581716
630,11.805573578
631,11.822795898
632,11.839037966
633,11.855931959
634,11.873587469
635,11.891548675
636,11.909572294
637,11.927060090
638,11.945541129
639,11.963554197
640,11.979616991
641,11.996515914
642,12.013571260
643,12.030569736
644,12.048776139
645,12.067023712
646,12.089163094
647,12.107575771
648,12.122586101
649,12.141587581
650,12.158550716
651,12.177613388
652,12.194583962
653,12.213557802
654,12.231596311
655,12.249602419
656,12.266567754
657,12.283680281
658,12.300602625
659,12.317576759
660,12.458570264
661,12.464397947
662,12.481343971
663,12.496989266
664,12.513679773
665,12.532696344
666,12.549431653
667,12.567712467
668,12.585737336
669,12.604524192
670,12.622458098
671,12.641439498
672,12.659462007
673,12.677475715
674,12.693418296
675,12.709479540
676,12.727436327
677,12.745494406
678,12.764458116
679,12.784499110
680,12.802441756
681,12.819440362
682,12.837480860
683,12.855395536
684,12.873468186
685,12.892466036
686,12.909486322
687,12.926539818
688,12.944390913
689,12.963538887
690,12.982469246
691,12.998440288
692,13.015431073
693,13.034425063
694,13.052769339
695,13.070660544
696,13.088628201
697,13.104466610
698,13.124617097
699,13.141474529
700,13.157467031
701,13.175812296
702,13.193452187
703,13.211418734
704,13.229464413
705,13.246466478
706,13.265609921
707,13.283712432
708,13.301487255
709,13.321450697
710,13.340497639
711,13.358472876
712,13.377509397
713,13.395473264
714,13.412469919
715,13.428513263
716,13.445466197
717,13.466687398
718,13.484501822
719,13.501489566
720,13.518619084
721,13.536601772
722,13.553464434
723,13.570517920
724,13.586530373
725,13.604481730
726,13.622471588
727,13.638615873
728,13.657484301
729,13.676494992
730,13.693547648
731,13.710474622
732,13.726466644
733,13.745515386
734,13.764500426
735,13.780471498
736,13.796496291
737,13.813523697
738,13.831474723
739,13.849447901
740,13.867664823
741,13.884517445
742,13.902535413
743,13.921537304
744,13.941533757
745,13.960542178
746,13.978545566
747,13.996539653
748,14.014554321
749,14.033554832
750,14.052552382
751,14.070347595
752,14.089548541
753,14.106544376
754,14.123501590
755,14.142489420
756,14.160734093
757,14.178632399
758,14.199833379
759,14.217692304
760,14.237192555
761,14.253530346
762,14.270829928
763,14.290554505
764,14.304623194
765,14.320485803
766,14.337531429
767,14.355434144
768,14.373412802
769,14.390586261
770,14.409009249
771,14.425628075
772,14.445982516
773,14.462560472
774,14.480961069
775,14.498091307
776,14.515496851
777,14.533958260
778,14.550520804
779,14.569416993
780,14.587648516
781,14.795623197
782,14.813993314
783,14.832305159
784,14.849446987
785,14.867888645
786,14.885603576
787,14.903322498
788,14.921507630
789,14.938572376
790,14.955655803
791,14.971873891
792,14.989533911
793,15.007093849
794,15.024077134
795,15.040357172
796,15.056498968
797,15.072551012
798,15.089802273
799,15.108983788
800,15.125348458
801,15.141459573
802,15.157470586
803,15.174595414
804,15.191404155
805,15.209127596
806,15.227637675
807,15.243497755
808,15.259538438
809,15.278962679
810,15.298704425
811,15.316196762
812,15.332591153
813,15.348537475
814,15.365402587
815,15.382558075
816,15.400537903
817,15.418579151
818,15.435586547
819,15.452704744
820,15.470123190
821,15.487579745
822,15.504824555
823,15.522597928
824,15.540469723
825,15.557492919
826,15.575498307
827,15.591517029
828,15.608550475
829,15.625018499
830,15.642750280
831,15.661715100
832,15.680210509
833,15.699072747
834,15.714363983
835,15.731119693
836,15.750143823
837,15.766643377
838,15.786124059
839,15.801804743
